,Family,Father,Mother,Gender,Height,Kids,MP,CH
0,1,78.5,67.0,M,73.2,4,75.43,73.2
1,1,78.5,67.0,F,69.2,4,75.43,74.736
2,1,78.5,67.0,F,69.0,4,75.43,74.52000000000001
3,1,78.5,67.0,F,69.0,4,75.43,74.52000000000001
4,2,75.5,66.5,M,73.5,4,73.66,73.5
5,2,75.5,66.5,M,72.5,4,73.66,72.5
6,2,75.5,66.5,F,65.5,4,73.66,70.74000000000001
7,2,75.5,66.5,F,65.5,4,73.66,70.74000000000001
8,3,75.0,64.0,M,71.0,2,72.06,71.0
9,3,75.0,64.0,F,68.0,2,72.06,73.44
10,4,75.0,64.0,M,70.5,5,72.06,70.5
11,4,75.0,64.0,M,68.5,5,72.06,68.5
12,4,75.0,64.0,F,67.0,5,72.06,72.36
13,4,75.0,64.0,F,64.5,5,72.06,69.66000000000001
14,4,75.0,64.0,F,63.0,5,72.06,68.04
15,5,75.0,58.5,M,72.0,6,69.09,72.0
16,5,75.0,58.5,M,69.0,6,69.09,69.0
17,5,75.0,58.5,M,68.0,6,69.09,68.0
18,5,75.0,58.5,F,66.5,6,69.09,71.82000000000001
19,5,75.0,58.5,F,62.5,6,69.09,67.5
20,5,75.0,58.5,F,62.5,6,69.09,67.5
21,6,74.0,68.0,F,69.5,1,73.72,75.06
22,7,74.0,68.0,M,76.5,6,73.72,76.5
23,7,74.0,68.0,M,74.0,6,73.72,74.0
24,7,74.0,68.0,M,73.0,6,73.72,73.0
25,7,74.0,68.0,M,73.0,6,73.72,73.0
26,7,74.0,68.0,F,70.5,6,73.72,76.14
27,7,74.0,68.0,F,64.0,6,73.72,69.12
28,8,74.0,66.5,F,70.5,3,72.91,76.14
29,8,74.0,66.5,F,68.0,3,72.91,73.44
30,8,74.0,66.5,F,66.0,3,72.91,71.28
31,9,74.5,66.0,F,66.0,1,72.89,71.28
32,10,74.0,65.5,F,65.5,1,72.37,70.74000000000001
33,11,74.0,62.0,M,74.0,8,70.48,74.0
34,11,74.0,62.0,M,70.0,8,70.48,70.0
35,11,74.0,62.0,F,68.0,8,70.48,73.44
36,11,74.0,62.0,F,67.0,8,70.48,72.36
37,11,74.0,62.0,F,67.0,8,70.48,72.36
38,11,74.0,62.0,F,66.0,8,70.48,71.28
39,11,74.0,62.0,F,63.5,8,70.48,68.58
40,11,74.0,62.0,F,63.0,8,70.48,68.04
41,12,74.0,61.0,F,65.0,1,69.94,70.2
42,14,73.0,67.0,M,68.0,2,72.68,68.0
43,14,73.0,67.0,M,67.0,2,72.68,67.0
44,15,73.0,66.5,M,71.0,3,72.41,71.0
45,15,73.0,66.5,M,70.5,3,72.41,70.5
46,15,73.0,66.5,F,66.7,3,72.41,72.036
47,16,73.0,65.0,M,72.0,9,71.6,72.0
48,16,73.0,65.0,M,70.5,9,71.6,70.5
49,16,73.0,65.0,M,70.2,9,71.6,70.2
50,16,73.0,65.0,M,70.2,9,71.6,70.2
51,16,73.0,65.0,M,69.2,9,71.6,69.2
52,16,73.0,65.0,F,68.7,9,71.6,74.19600000000001
53,16,73.0,65.0,F,66.5,9,71.6,71.82000000000001
54,16,73.0,65.0,F,64.5,9,71.6,69.66000000000001
55,16,73.0,65.0,F,63.5,9,71.6,68.58
56,17,73.0,64.5,M,74.0,6,71.33000000000001,74.0
57,17,73.0,64.5,M,73.0,6,71.33000000000001,73.0
58,17,73.0,64.5,M,71.5,6,71.33000000000001,71.5
59,17,73.0,64.5,M,62.5,6,71.33000000000001,62.5
60,17,73.0,64.5,F,66.5,6,71.33000000000001,71.82000000000001
61,17,73.0,64.5,F,62.3,6,71.33000000000001,67.284
62,18,73.0,64.0,F,66.0,3,71.06,71.28
63,18,73.0,64.0,F,64.5,3,71.06,69.66000000000001
64,18,73.0,64.0,F,64.0,3,71.06,69.12
65,19,73.2,63.0,F,62.7,1,70.62,67.71600000000001
66,20,72.7,69.0,M,73.2,8,73.61000000000001,73.2
67,20,72.7,69.0,M,73.0,8,73.61000000000001,73.0
68,20,72.7,69.0,M,72.7,8,73.61000000000001,72.7
69,20,72.7,69.0,F,70.0,8,73.61000000000001,75.60000000000001
70,20,72.7,69.0,F,69.0,8,73.61000000000001,74.52000000000001
71,20,72.7,69.0,F,68.5,8,73.61000000000001,73.98
72,20,72.7,69.0,F,68.0,8,73.61000000000001,73.44
73,20,72.7,69.0,F,66.0,8,73.61000000000001,71.28
74,21,72.0,68.0,M,73.0,3,72.72,73.0
75,21,72.0,68.0,F,68.5,3,72.72,73.98
76,21,72.0,68.0,F,68.0,3,72.72,73.44
77,22,72.0,67.0,M,73.0,3,72.18,73.0
78,22,72.0,67.0,M,71.0,3,72.18,71.0
79,22,72.0,67.0,F,67.0,3,72.18,72.36
80,23,72.0,65.0,M,74.2,7,71.1,74.2
81,23,72.0,65.0,M,70.5,7,71.1,70.5
82,23,72.0,65.0,M,69.5,7,71.1,69.5
83,23,72.0,65.0,F,66.0,7,71.1,71.28
84,23,72.0,65.0,F,65.5,7,71.1,70.74000000000001
85,23,72.0,65.0,F,65.0,7,71.1,70.2
86,23,72.0,65.0,F,65.0,7,71.1,70.2
87,24,72.0,65.5,F,65.5,1,71.37,70.74000000000001
88,25,72.0,64.0,F,66.0,2,70.56,71.28
89,25,72.0,64.0,F,63.0,2,70.56,68.04
90,26,72.0,63.0,M,70.5,5,70.02000000000001,70.5
91,26,72.0,63.0,M,70.5,5,70.02000000000001,70.5
92,26,72.0,63.0,M,69.0,5,70.02000000000001,69.0
93,26,72.0,63.0,F,65.0,5,70.02000000000001,70.2
94,26,72.0,63.0,F,63.0,5,70.02000000000001,68.04
95,27,72.0,63.0,M,69.0,3,70.02000000000001,69.0
96,27,72.0,63.0,M,67.0,3,70.02000000000001,67.0
97,27,72.0,63.0,F,63.0,3,70.02000000000001,68.04
98,28,72.0,63.0,M,73.0,6,70.02000000000001,73.0
99,28,72.0,63.0,M,67.0,6,70.02000000000001,67.0
100,28,72.0,63.0,F,70.5,6,70.02000000000001,76.14
101,28,72.0,63.0,F,70.0,6,70.02000000000001,75.60000000000001
102,28,72.0,63.0,F,66.5,6,70.02000000000001,71.82000000000001
103,28,72.0,63.0,F,63.0,6,70.02000000000001,68.04
104,29,72.5,63.5,F,67.5,3,70.53999999999999,72.9
105,29,72.5,63.5,F,67.2,3,70.53999999999999,72.57600000000001
106,29,72.5,63.5,F,66.7,3,70.53999999999999,72.036
107,30,72.0,62.0,F,64.0,1,69.48,69.12
108,31,72.5,62.0,M,71.0,6,69.73,71.0
109,31,72.5,62.0,M,70.0,6,69.73,70.0
110,31,72.5,62.0,M,70.0,6,69.73,70.0
111,31,72.5,62.0,F,66.0,6,69.73,71.28
112,31,72.5,62.0,F,65.0,6,69.73,70.2
113,31,72.5,62.0,F,65.0,6,69.73,70.2
114,32,72.0,62.0,M,74.0,5,69.48,74.0
115,32,72.0,62.0,M,72.0,5,69.48,72.0
116,32,72.0,62.0,M,69.0,5,69.48,69.0
117,32,72.0,62.0,F,67.5,5,69.48,72.9
118,32,72.0,62.0,F,63.5,5,69.48,68.58
119,33,72.0,62.0,M,72.0,5,69.48,72.0
120,33,72.0,62.0,M,71.5,5,69.48,71.5
121,33,72.0,62.0,M,71.5,5,69.48,71.5
122,33,72.0,62.0,M,70.0,5,69.48,70.0
123,33,72.0,62.0,F,68.0,5,69.48,73.44
124,34,72.0,61.0,F,65.7,1,68.94,70.956
125,35,71.0,69.0,M,78.0,5,72.76,78.0
126,35,71.0,69.0,M,74.0,5,72.76,74.0
127,35,71.0,69.0,M,73.0,5,72.76,73.0
128,35,71.0,69.0,M,72.0,5,72.76,72.0
129,35,71.0,69.0,F,67.0,5,72.76,72.36
130,36,71.0,67.0,M,73.2,4,71.68,73.2
131,36,71.0,67.0,M,73.0,4,71.68,73.0
132,36,71.0,67.0,M,69.0,4,71.68,69.0
133,36,71.0,67.0,F,67.0,4,71.68,72.36
134,37,71.0,66.0,M,70.0,4,71.14,70.0
135,37,71.0,66.0,F,67.0,4,71.14,72.36
136,37,71.0,66.0,F,67.0,4,71.14,72.36
137,37,71.0,66.0,F,66.5,4,71.14,71.82000000000001
138,38,71.0,66.0,M,70.0,6,71.14,70.0
139,38,71.0,66.0,M,69.0,6,71.14,69.0
140,38,71.0,66.0,M,68.5,6,71.14,68.5
141,38,71.0,66.0,F,66.0,6,71.14,71.28
142,38,71.0,66.0,F,64.5,6,71.14,69.66000000000001
143,38,71.0,66.0,F,63.0,6,71.14,68.04
144,39,71.0,66.0,M,71.0,2,71.14,71.0
145,39,71.0,66.0,F,67.0,2,71.14,72.36
146,40,71.0,66.0,M,76.0,5,71.14,76.0
147,40,71.0,66.0,M,72.0,5,71.14,72.0
148,40,71.0,66.0,M,71.0,5,71.14,71.0
149,40,71.0,66.0,M,66.0,5,71.14,66.0
150,40,71.0,66.0,F,66.0,5,71.14,71.28
151,41,71.7,65.5,M,70.5,1,71.22,70.5
152,42,71.0,65.5,M,72.0,6,70.87,72.0
153,42,71.0,65.5,M,72.0,6,70.87,72.0
154,42,71.0,65.5,M,71.0,6,70.87,71.0
155,42,71.0,65.5,M,69.0,6,70.87,69.0
156,42,71.0,65.5,F,66.0,6,70.87,71.28
157,42,71.0,65.5,F,65.0,6,70.87,70.2
158,43,71.5,65.5,M,73.0,2,71.12,73.0
159,43,71.5,65.5,F,65.2,2,71.12,70.41600000000001
160,44,71.5,65.0,M,68.5,2,70.85,68.5
161,44,71.5,65.0,M,67.7,2,70.85,67.7
162,45,71.0,65.0,M,68.0,3,70.6,68.0
163,45,71.0,65.0,M,68.0,3,70.6,68.0
164,45,71.0,65.0,F,62.0,3,70.6,66.96000000000001
165,46,71.0,64.0,F,68.0,8,70.06,73.44
166,46,71.0,64.0,F,68.0,8,70.06,73.44
167,46,71.0,64.0,F,67.5,8,70.06,72.9
168,46,71.0,64.0,F,66.5,8,70.06,71.82000000000001
169,46,71.0,64.0,F,66.5,8,70.06,71.82000000000001
170,46,71.0,64.0,F,66.0,8,70.06,71.28
171,46,71.0,64.0,F,65.5,8,70.06,70.74000000000001
172,46,71.0,64.0,F,65.0,8,70.06,70.2
173,47,71.7,64.5,M,72.0,4,70.68,72.0
174,47,71.7,64.5,M,71.0,4,70.68,71.0
175,47,71.7,64.5,M,70.5,4,70.68,70.5
176,47,71.7,64.5,F,67.0,4,70.68,72.36
177,48,71.0,64.0,M,68.0,3,70.06,68.0
178,48,71.0,64.0,M,68.0,3,70.06,68.0
179,48,71.0,64.0,M,68.0,3,70.06,68.0
180,49,71.5,64.5,M,72.0,7,70.58000000000001,72.0
181,49,71.5,64.5,M,71.0,7,70.58000000000001,71.0
182,49,71.5,64.5,M,70.0,7,70.58000000000001,70.0
183,49,71.5,64.5,F,66.0,7,70.58000000000001,71.28
184,49,71.5,64.5,F,64.5,7,70.58000000000001,69.66000000000001
185,49,71.5,64.5,F,64.5,7,70.58000000000001,69.66000000000001
186,49,71.5,64.5,F,62.0,7,70.58000000000001,66.96000000000001
187,51,71.2,63.0,F,67.5,2,69.62,72.9
188,51,71.2,63.0,F,64.5,2,69.62,69.66000000000001
189,52,71.0,63.5,M,71.0,5,69.78999999999999,71.0
190,52,71.0,63.5,M,67.0,5,69.78999999999999,67.0
191,52,71.0,63.5,F,66.0,5,69.78999999999999,71.28
192,52,71.0,63.5,F,65.0,5,69.78999999999999,70.2
193,52,71.0,63.5,F,63.5,5,69.78999999999999,68.58
194,53,71.0,63.0,M,71.0,9,69.52000000000001,71.0
195,53,71.0,63.0,M,70.0,9,69.52000000000001,70.0
196,53,71.0,63.0,M,70.0,9,69.52000000000001,70.0
197,53,71.0,63.0,M,64.0,9,69.52000000000001,64.0
198,53,71.0,63.0,F,65.0,9,69.52000000000001,70.2
199,53,71.0,63.0,F,65.0,9,69.52000000000001,70.2
200,53,71.0,63.0,F,64.0,9,69.52000000000001,69.12
201,53,71.0,63.0,F,63.0,9,69.52000000000001,68.04
202,53,71.0,63.0,F,63.0,9,69.52000000000001,68.04
203,54,71.0,63.0,M,71.0,4,69.52000000000001,71.0
204,54,71.0,63.0,M,71.0,4,69.52000000000001,71.0
205,54,71.0,63.0,M,70.0,4,69.52000000000001,70.0
206,54,71.0,63.0,F,63.5,4,69.52000000000001,68.58
